pathway_id,pathway_mode,is_bidirectional,from_stop_id,to_stop_id,traversal_time
LM2BL1-F01292,2,1,LM2BL1,F01292,60
LMXKVD-LM3KV1,2,1,LMXKVD,LM3KV1,30
LM2PF2-F01325-WC,2,1,LM2PF2,F01325,60
LMXKVB-LM3KV1,2,1,LMXKVB,LM3KV1,30
L008186-LM3UKC,2,1,L008186,LM3UKC,150
L008186-LM3UKD,2,1,L008186,LM3UKD,90
LM1VTM-F00965,2,1,LM1VTM,F00965,30
L008186-LM3UKE,2,1,L008186,LM3UKE,90
L008186-LM3UKF,2,1,L008186,LM3UKF,120
L008186-LM3UKA,2,1,L008186,LM3UKA,90
L008186-LM3UKB,2,1,L008186,LM3UKB,150
LM4KF2-056215,2,1,LM4KF2,056215,30
LM3AH2-F02638,2,1,LM3AH2,F02638,30
LM4KF2-056216,2,1,LM4KF2,056216,30
L008186-LM3UKG,2,1,L008186,LM3UKG,120
L008186-LM3UKH,2,1,L008186,LM3UKH,120
L008186-LM3UKI,2,1,L008186,LM3UKI,120
LM3NLA-L008082,2,1,LM3NLA,L008082,45
LM4BP2-056218,2,1,LM4BP2,056218,60
LM4BP2-056217,2,1,LM4BP2,056217,60
LM1OPM-F01080,2,1,LM1OPM,F01080,30
LM3HU1-F01542,2,1,LM3HU1,F01542,30
LM3LEG-LM3LE1,2,1,LM3LEG,LM3LE1,30
LM3HU1-F01541,2,1,LM3HU1,F01541,30
LM3LEC-LM3LE2,2,1,LM3LEC,LM3LE2,30
LM3NLF-L008082,2,1,LM3NLF,L008082,45
056234-F01336,2,1,056234,F01336,250
056234-F01335,2,1,056234,F01335,250
LM3KKB2-LM3KK1,2,1,LM3KKB2,LM3KK1,30
LM2SZ1-F02480,2,1,LM2SZ1,F02480,60
LM2SZ1-F02481,2,1,LM2SZ1,F02481,60
LM3HU1-LM3HUB,2,1,LM3HU1,LM3HUB,30
LM3HU1-LM3HUA,2,1,LM3HU1,LM3HUA,30
LM3FT1-F00953-WC,5,1,LM3FT1,F00953,90
LM3NL1-F01283,5,1,LM3NL1,F01283,120
LM3DG1-F02680-WC,5,1,LM3DG1,F02680,60
LM4MK1-LM4MKB,2,1,LM4MK1,LM4MKB,60
LM4KF4-LM4KFA,2,1,LM4KF4,LM4KFA,150
LM4MK1-LM4MKA,2,1,LM4MK1,LM4MKA,30
L008077-F01879,2,1,L008077,F01879,30
LM4KF4-LM4KFB,2,1,LM4KF4,LM4KFB,60
LM4MK1-LM4MKD,2,1,LM4MK1,LM4MKD,60
L008077-F01878,2,1,L008077,F01878,30
LM4KF4-LM4KFC,2,1,LM4KF4,LM4KFC,90
LM4MK1-LM4MKC,2,1,LM4MK1,LM4MKC,60
LM4KF4-LM4KFD,2,1,LM4KF4,LM4KFD,60
F00962-F00955,2,1,F00962,F00955,270
LM1OKM-F01086,2,1,LM1OKM,F01086,30
LM3KKV1-LM3KK1,2,1,LM3KKV1,LM3KK1,150
LM3NLV-L008082,2,1,LM3NLV,L008082,60
LM3EUA-F01493,2,1,LM3EUA,F01493,45
LM3NYJ-LM3NY2,1,1,LM3NYJ,LM3NY2,150
LM3LE1-F02614,2,1,LM3LE1,F02614,30
LM3LE1-F02613,2,1,LM3LE1,F02613,30
LM3NYJ-LM3NY1,1,1,LM3NYJ,LM3NY1,60
LM2KP1-F01335,2,1,LM2KP1,F01335,120
F00961-F00955,2,1,F00961,F00955,120
F00962-F00954,2,1,F00962,F00954,270
F00961-F00954,2,1,F00961,F00954,120
